year,winner,jockey,trainer,owner,distance,track_condition,time_string,time_sec,triple_crown_winner,Year_winner,Owner,Earnings,Earnings_2022
1917.0,Omar Khayyam,Charles Borel,Charles T. Patterson,Billings & Johnson,1.25,Fast,02:04.6,124.6,False,,,,
1916.0,George Smith,Johnny Loftus,Hollie Hughes,John Sanford,1.25,Fast,02:04.0,124.0,False,,,,
1915.0,Regret,Joe Notter,James G. Rowe Sr.,Harry P. Whitney,1.25,Fast,02:05.4,125.4,False,,,,
1914.0,Old Rosebud,John McCabe,Frank D. Weir,Hamilton C. Applegate,1.25,Fast,02:03.4,123.4,False,,,,
1913.0,Donerail,Roscoe Goose,Thomas P. Hayes,Thomas P. Hayes,1.25,Fast,02:04.8,124.8,False,,,,
1912.0,Worth,Carroll H. Shilling,Frank M. Taylor,Harry C. Hallenbeck,1.25,Muddy,02:09.4,129.4,False,,,,
1911.0,Meridian,George Archibald,Albert Ewing,Richard F. Carman,1.25,Fast,02:05.0,125.0,False,,,,
1910.0,Donau,Frederick Herbert,George Ham,William Gerst,1.25,Fast,02:06.4,126.4,False,,,,
1909.0,Wintergreen,Vincent Powers,Charles Mack,Jerome B. Respess,1.25,Slow,02:08.2,128.2,False,,,,
1908.0,Stone Street,Arthur Pickens,J. W. Hall,C. E. & J. W. Hamilton,1.25,Heavy,02:15.2,135.2,False,,,,
1907.0,Pink Star,Andy Minder,William H. Fizer,J. Hal Woodford,1.25,Heavy,02:12.6,132.6,False,,,,
1906.0,Sir Huon,Roscoe Troxler,Pete Coyne,Bashford Manor Stable,1.25,Fast,02:08.8,128.8,False,,,,
1905.0,Agile,Jack Martin,Robert Tucker,Samuel S. Brown,1.25,Heavy,02:10.8,130.75,False,,,,
1904.0,Elwood,Shorty Prior,Charles E. Durnell,Lasca Durnell,1.25,Fast,02:08.5,128.5,False,,,,
1903.0,Judge Himes,Harold Booker,John P. Mayberry,Charles R. Ellison,1.25,Fast,02:09.0,129.0,False,,,,
1902.0,Alan-a-Dale,Jimmy Winkfield,Thomas C. McDowell,Thomas C. McDowell,1.25,Fast,02:08.8,128.75,False,,,,
1901.0,His Eminence,Jimmy Winkfield,Frank B. Van Meter,Frank B. Van Meter,1.25,Fast,02:07.8,127.75,False,,,,
1900.0,Lieut. Gibson,Jimmy Boland,Charles H. Hughes,Charles Head Smith,1.25,Fast,02:06.2,126.25,False,,,,
1899.0,Manuel,Fred Taral,Robert J. Walden,A. H. & D. H. Morris,1.25,Fast,02:12.0,132.0,False,,,,
1898.0,Plaudit,Willie Simms,John E. Madden,John E. Madden,1.25,Good,02:09.0,129.0,False,,,,
1897.0,Typhoon II,Buttons Garner,Julius C. Cahn,Julius C. Cahn,1.25,Heavy,02:12.5,132.5,False,,,,
1896.0,Ben Brush,Willie Simms,Hardy Campbell Jr.,Mike F. Dwyer,1.25,Fast,02:07.8,127.75,False,,,,
1895.0,Halma,James Perkins,Byron McClelland,Byron McClelland,1.5,Fast,02:37.5,157.5,False,,,,
1894.0,Chant,Frank Goodale,H. Eugene Leigh,H. Eugene Leigh & Robert L. Rose,1.5,Fast,02:41.0,161.0,False,,,,
1893.0,Lookout,Eddie Kunze,William McDaniel,Cushing & Orth,1.5,Fast,02:39.3,159.25,False,,,,
1892.0,Azra,Alonzo Clayton,John H. Morris,Bashford Manor Stable,1.5,Heavy,02:41.5,161.5,False,,,,
1891.0,Kingman,Isaac Murphy,Dud Allen,Jacobin Stable,1.5,Fast,02:52.3,172.25,False,,,,
1890.0,Riley,Isaac Murphy,Edward Corrigan,Edward Corrigan,1.5,Muddy,02:45.0,165.0,False,,,,
1889.0,Spokane,Thomas Kiley,John Rodegap,Noah Armstrong,1.5,Fast,02:34.5,154.5,False,,,,
1888.0,Macbeth II,George Covington,John Campbell,Chicago Stable,1.5,Fast,02:38.3,158.25,False,,,,
1887.0,Montrose,Isaac Lewis,John McGinty,Labold Brothers,1.5,Fast,02:39.3,159.25,False,,,,
1886.0,Ben Ali,Paul Duffy,Jim Murphy,J. B. A. Haggin,1.5,Fast,02:36.5,156.5,False,,,,
1885.0,Joe Cotton,Erskine Henderson,Abraham Perry,James T. Williams,1.5,Good,02:37.3,157.25,False,,,,
1884.0,Buchanan,Isaac Murphy,William Bird,Samuel S. Brown & William Cottrill,1.5,Good,02:40.3,160.25,False,,,,
1883.0,Leonatus,William Donohue,Raleigh Colston Sr.,Jack P. Chinn & George W. Morgan,1.5,Heavy,02:43.0,163.0,False,,,,
1882.0,Apollo,Babe Hurd,Green B. Morris,Morris & Patton,1.5,Fast,02:40.3,160.25,False,,,,
1881.0,Hindoo,Jim McLaughlin,James G. Rowe Sr.,Dwyer Bros. Stable,1.5,Fast,02:40.0,160.0,False,,,,
1880.0,Fonso,George Lewis,Tice Hutsell,J. Snell Shawhan,1.5,Fast,02:37.5,157.5,False,,,,
1879.0,Lord Murphy,Charlie Shauer,George Rice,Darden & Co,1.5,Fast,02:37.0,157.0,False,,,,
1878.0,Day Star,Jimmy Carter,Lee Paul,Thomas J. Nichols,1.5,Fast,02:37.3,157.25,False,,,,
1877.0,Baden-Baden,Billy Walker,Edward D. Brown,Daniel Swigert,1.5,Fast,02:38.0,158.0,False,,,,
1876.0,Vagrant,Robert Swim,James Williams,William Astor Jr.,1.5,Fast,02:38.3,158.25,False,,,,
1875.0,Aristides,Oliver Lewis,Ansel Williamson,H. Price McGrath,1.5,Fast,02:37.7,157.75,False,,,,
