,Year,winner,jockey,trainer,owner,distance,Track Condition,Time,triple_crown_winner,Earnings
104,1918,Exterminator,Willie Knapp,Henry McDaniel,Willis Sharpe Kilmer,1.25,Muddy,02:10.8,No,-
105,1917,Omar Khayyam,Charles Borel,Charles T. Patterson,Billings & Johnson,1.25,Fast,02:04.6,No,-
106,1916,George Smith,Johnny Loftus,Hollie Hughes,John Sanford,1.25,Fast,02:04.0,No,-
107,1915,Regret,Joe Notter,James G. Rowe Sr.,Harry P. Whitney,1.25,Fast,02:05.4,No,-
108,1914,Old Rosebud,John McCabe,Frank D. Weir,Hamilton C. Applegate,1.25,Fast,02:03.4,No,-
109,1913,Donerail,Roscoe Goose,Thomas P. Hayes,Thomas P. Hayes,1.25,Fast,02:04.8,No,-
110,1912,Worth,Carroll H. Shilling,Frank M. Taylor,Harry C. Hallenbeck,1.25,Muddy,02:09.4,No,-
111,1911,Meridian,George Archibald,Albert Ewing,Richard F. Carman,1.25,Fast,02:05.0,No,-
112,1910,Donau,Frederick Herbert,George Ham,William Gerst,1.25,Fast,02:06.4,No,-
113,1909,Wintergreen,Vincent Powers,Charles Mack,Jerome B. Respess,1.25,Slow,02:08.2,No,-
114,1908,Stone Street,Arthur Pickens,J. W. Hall,C. E. & J. W. Hamilton,1.25,Heavy,02:15.2,No,-
115,1907,Pink Star,Andy Minder,William H. Fizer,J. Hal Woodford,1.25,Heavy,02:12.6,No,-
116,1906,Sir Huon,Roscoe Troxler,Pete Coyne,Bashford Manor Stable,1.25,Fast,02:08.8,No,-
117,1905,Agile,Jack Martin,Robert Tucker,Samuel S. Brown,1.25,Heavy,02:10.8,No,-
118,1904,Elwood,Shorty Prior,Charles E. Durnell,Lasca Durnell,1.25,Fast,02:08.5,No,-
119,1903,Judge Himes,Harold Booker,John P. Mayberry,Charles R. Ellison,1.25,Fast,02:09.0,No,-
120,1902,Alan-a-Dale,Jimmy Winkfield,Thomas C. McDowell,Thomas C. McDowell,1.25,Fast,02:08.8,No,-
121,1901,His Eminence,Jimmy Winkfield,Frank B. Van Meter,Frank B. Van Meter,1.25,Fast,02:07.8,No,-
122,1900,Lieut. Gibson,Jimmy Boland,Charles H. Hughes,Charles Head Smith,1.25,Fast,02:06.2,No,-
123,1899,Manuel,Fred Taral,Robert J. Walden,A. H. & D. H. Morris,1.25,Fast,02:12.0,No,-
124,1898,Plaudit,Willie Simms,John E. Madden,John E. Madden,1.25,Good,02:09.0,No,-
125,1897,Typhoon II,Buttons Garner,Julius C. Cahn,Julius C. Cahn,1.25,Heavy,02:12.5,No,-
126,1896,Ben Brush,Willie Simms,Hardy Campbell Jr.,Mike F. Dwyer,1.25,Fast,02:07.8,No,-
127,1895,Halma,James Perkins,Byron McClelland,Byron McClelland,1.5,Fast,02:37.5,No,-
128,1894,Chant,Frank Goodale,H. Eugene Leigh,H. Eugene Leigh & Robert L. Rose,1.5,Fast,02:41.0,No,-
129,1893,Lookout,Eddie Kunze,William McDaniel,Cushing & Orth,1.5,Fast,02:39.3,No,-
130,1892,Azra,Alonzo Clayton,John H. Morris,Bashford Manor Stable,1.5,Heavy,02:41.5,No,-
131,1891,Kingman,Isaac Murphy,Dud Allen,Jacobin Stable,1.5,Fast,02:52.3,No,-
132,1890,Riley,Isaac Murphy,Edward Corrigan,Edward Corrigan,1.5,Muddy,02:45.0,No,-
133,1889,Spokane,Thomas Kiley,John Rodegap,Noah Armstrong,1.5,Fast,02:34.5,No,-
134,1888,Macbeth II,George Covington,John Campbell,Chicago Stable,1.5,Fast,02:38.3,No,-
135,1887,Montrose,Isaac Lewis,John McGinty,Labold Brothers,1.5,Fast,02:39.3,No,-
136,1886,Ben Ali,Paul Duffy,Jim Murphy,J. B. A. Haggin,1.5,Fast,02:36.5,No,-
137,1885,Joe Cotton,Erskine Henderson,Abraham Perry,James T. Williams,1.5,Good,02:37.3,No,-
138,1884,Buchanan,Isaac Murphy,William Bird,Samuel S. Brown & William Cottrill,1.5,Good,02:40.3,No,-
139,1883,Leonatus,William Donohue,Raleigh Colston Sr.,Jack P. Chinn & George W. Morgan,1.5,Heavy,02:43.0,No,-
140,1882,Apollo,Babe Hurd,Green B. Morris,Morris & Patton,1.5,Fast,02:40.3,No,-
141,1881,Hindoo,Jim McLaughlin,James G. Rowe Sr.,Dwyer Bros. Stable,1.5,Fast,02:40.0,No,-
142,1880,Fonso,George Lewis,Tice Hutsell,J. Snell Shawhan,1.5,Fast,02:37.5,No,-
143,1879,Lord Murphy,Charlie Shauer,George Rice,Darden & Co,1.5,Fast,02:37.0,No,-
144,1878,Day Star,Jimmy Carter,Lee Paul,Thomas J. Nichols,1.5,Fast,02:37.3,No,-
145,1877,Baden-Baden,Billy Walker,Edward D. Brown,Daniel Swigert,1.5,Fast,02:38.0,No,-
146,1876,Vagrant,Robert Swim,James Williams,William Astor Jr.,1.5,Fast,02:38.3,No,-
147,1875,Aristides,Oliver Lewis,Ansel Williamson,H. Price McGrath,1.5,Fast,02:37.7,No,-
